"meat","fish","eggs","milk","vegetables","fruits_and_berries","cereals","flour","sweets","softdrinks","alcodrinks","sum_rub_buy","income","diplom","car","plot_bi","plot_size","famsize","water","sanitation","fridge","internet","pfuel","ptransp","phome","debt","govsubs","nongovsubs","inval"
2.6,NA,10,4,NA,NA,NA,1.6,NA,NA,NA,1060,18600,0,0,1,39,1,1,1,0,0,NA,300,6500,0,18600,0,1
7,NA,20,7,NA,NA,NA,2.4,1,NA,NA,3643,36800,0,1,1,4,2,1,1,1,1,2000,433,6900,0,36800,0,1
2.5,NA,10,3.5,NA,NA,NA,1.6,1,NA,1,1988,26500,0,0,1,44,1,1,1,1,0,NA,NA,7100,0,21500,0,0
0.3,NA,10,2,NA,1,NA,1.6,10.8,0.19,NA,1513,45800,0,0,1,5,1,1,1,1,1,NA,NA,5600,0,25800,0,0
0.5,NA,10,2.5,NA,1,1,2.6,0.5,NA,NA,1172,25700,0,0,1,5,1,1,1,1,1,NA,208,6000,0,10000,0,0
0.5,NA,NA,3,NA,1,NA,2.8,2,NA,NA,1298,65600,0,0,1,6,3,0,0,1,1,NA,NA,1200,0,45600,0,0
2.5,NA,10,2.5,50,NA,2,4.6,1,0.3,NA,1942,37500,0,0,1,2,1,0,0,1,1,NA,0,400,0,22500,0,0
1.25,NA,10,NA,4,NA,NA,4,1,0.1,NA,833,16700,0,0,0,0,2,1,1,0,0,NA,433,3500,0,16700,0,1
1.9,NA,10,3,NA,NA,1,2,0.3,0.25,NA,1395,30390,0,0,0,0,1,0,0,1,0,NA,NA,400,0,24390,0,1
2.1,NA,10,2.5,NA,NA,NA,3,1.3,NA,0.25,1243,35000,0,1,1,4,1,1,1,1,1,5000,NA,5000,50000,0,0,0
3,2,NA,0.5,7,3,2,3,0.2,0.2,2,2470,150000,1,1,0,0,3,1,1,1,1,5000,2500,4000,0,0,0,0
2,NA,10,2,9.2,5.5,2.9,0.5,1,NA,NA,1385,66000,1,0,0,0,3,1,1,0,1,NA,1700,5000,0,0,0,0
3.2,1.1,10,2.3,6.5,2.3,1,3.3,0.08,NA,NA,1899,31700,1,0,0,0,1,1,1,1,1,NA,630,3300,0,31700,0,0
2.9,1.8,10,5.5,5.5,1,NA,4.8,0.5,NA,NA,3309,54200,1,0,1,8,2,1,1,1,1,NA,1500,5200,0,54200,0,0
3.5,1,20,2,4,2,2,3,1,NA,NA,1572,20500,0,0,0,0,1,1,1,1,0,NA,NA,2400,0,20500,0,0
