"meat","fish","eggs","milk","vegetables","fruits_and_berries","cereals","flour","sweets","softdrinks","alcodrinks","sum_rub_buy","income","diplom","car","plot_bi","plot_size","famsize","water","sanitation","fridge","internet","pfuel","ptransp","phome","debt","govsubs","nongovsubs","inval"
3.5,1,20,3.2,NA,2,NA,6.1,2.8,NA,NA,2058,30500,0,0,1,4,2,1,1,1,0,NA,500,3500,0,26900,0,1
2.6,1,10,0.9,3,1,1,3.05,1,NA,NA,1480,37200,0,0,0,0,1,1,1,0,0,NA,1200,3000,0,37200,0,0
10.1,1.7,20,0.95,14.2,3,3,7.3,3.7,0.095,0.5,5716,117600,0,0,0,0,4,1,1,1,1,NA,10000,3300,0,47600,0,0
2.5,NA,10,NA,20,NA,1,1.2,NA,NA,NA,858,22350,0,0,0,0,1,1,1,0,0,NA,NA,1200,0,22350,0,1
7.5,0.5,NA,8.3,NA,10,NA,15,3.5,NA,NA,7760,314152,1,1,1,12,7,1,1,1,1,7000,NA,3200,0,30252,0,0
4.325,NA,20,5,NA,1,2,6,3,NA,3.7,2929,75391,0,0,1,8,4,0,0,1,1,NA,1400,300,16780,62791,0,0
4.3,1.2,NA,4.4,NA,2,1,1.6,3.6,NA,NA,3052,34150,0,1,1,12,2,1,1,1,1,3500,NA,1870,0,33050,0,1
5,0.5,20,3.5,NA,1.5,1,3.6,3.3,NA,1,3120,58820,1,0,1,12,2,1,1,1,1,NA,4700,2500,0,11720,0,0
0.3,0.8,NA,2,4.5,5,NA,0.899999999999999,NA,NA,0.7,875,20000,0,0,0,0,1,1,1,1,1,NA,4000,2800,0,20000,0,0
2,1,NA,2.25,6,1,1,2.05,2.5,NA,NA,1776,30839,0,0,0,0,1,1,1,1,0,NA,NA,3000,0,30839,0,0
1.2,NA,10,1.45,2.5,NA,NA,1.1,NA,NA,NA,588,10200,0,0,0,0,1,1,1,0,0,NA,800,980,1000,320,0,0
7.5,1,20,5.3,NA,7,1,8,4.2,0.19,NA,5665,72000,1,0,1,40,3,1,1,1,1,500,1500,1500,400000,10000,0,0
15,NA,90,5.5,13,10,1,7.4,15,1,NA,12382,80000,1,1,0,0,4,1,1,1,1,10000,NA,5000,0,0,0,0
3.5,0.5,30,5.3,6,2,1,3.9,1.1,NA,NA,2599,24200,0,0,0,0,1,1,1,1,1,NA,250,2300,0,24200,0,0
6.4,2.3,20,8,NA,10.5,NA,4.7,11.6,2,1.8,6340,144420,1,1,1,6,5,1,1,1,1,3500,NA,1800,63000,46320,0,0
1.4,1.5,NA,3.3,NA,4,NA,3.6,3.6,0.1,NA,2280,68600,0,0,1,8,2,1,0,1,0,NA,1200,500,0,55200,0,0
4.1,NA,20,3.4,2,6.5,NA,1.15,11.6,NA,NA,3471,75400,0,0,1,9,2,1,0,1,1,NA,900,1560,0,20800,0,0
0.8,NA,10,2,1.5,NA,1,2.15,3.3,NA,NA,720,12411,0,0,0,0,1,1,1,1,1,NA,NA,2000,93000,12411,0,0
3.5,1.6,10,3.4,NA,1.5,2,4.3,3,0.24,NA,2636,50460,0,0,1,4,3,0,0,1,1,NA,1200,4000,0,10000,0,0
4.8,1,10,3,NA,6.2,0.9,4.8,1.3,0.3,NA,3187,28000,0,0,1,25,2,1,1,1,0,NA,NA,3500,0,0,0,0
1.8,0.6,10,0.18,1,1.3,1,2.05,0.7,NA,NA,1033,30800,0,0,0,0,1,1,1,1,0,NA,900,1900,0,30800,0,1
1.5,2,NA,3.2,1,1.2,NA,6.4,1.4,NA,NA,1778,62000,1,1,1,55,3,0,0,1,1,3000,600,2700,0,0,0,0
4.3,NA,NA,NA,NA,1,0.9,0.8,0.5,0.09,NA,1369,21000,0,0,1,40,1,0,0,1,0,NA,120,2000,0,18100,0,0
2.5,1.5,NA,NA,NA,NA,NA,4.05,1,NA,NA,1412.5,34308,0,0,1,40,2,0,0,1,0,NA,440,1450,0,27308,0,0
0.8,NA,NA,1.3,0.5,7,NA,1.15,NA,NA,NA,783,35000,0,1,1,6,1,0,0,1,0,3000,NA,2000,0,0,0,0
2.4,NA,NA,NA,NA,NA,NA,2.4,1.4,0.3,NA,1824,8600,0,0,1,40,1,0,0,1,0,NA,NA,1200,0,8600,0,0
6.7,NA,NA,NA,NA,2.5,NA,1.8,NA,NA,NA,2354,42800,0,1,0,0,2,1,1,1,1,13800,NA,3500,0,19600,0,0
0.8,NA,NA,0.9,NA,NA,0.8,2.9,NA,NA,NA,433,28600,0,0,1,4,2,0,0,1,0,NA,NA,3000,0,28600,0,0
NA,NA,NA,NA,NA,NA,NA,2.7,1,NA,NA,270,37200,0,0,1,100,3,0,0,0,1,2000,NA,500,0,36000,0,1
0.8,0.245,NA,0.4,NA,NA,1,8.05,10.9,NA,NA,1648.5,31600,0,0,1,40,2,0,0,0,0,NA,440,2500,0,31600,0,0
2.1,0.7,10,2.45,4.2,1.2,1,2.05,0.4,0.035,NA,1186,26000,0,0,0,0,1,1,1,1,0,NA,1400,2000,0,26000,0,0
2.3,0.5,NA,2.85,4.5,1,1,2.05,NA,0.095,NA,2327,35900,0,0,0,0,1,1,1,1,0,NA,1000,2000,0,35900,0,1
3.1,NA,30,3,NA,1,4.8,6.7,NA,0.09,NA,2214.6,20000,0,1,1,6,4,1,0,0,1,1000,NA,2200,44000,12000,0,0
2.4,1,20,4.9,3.5,4.5,NA,1.6,2.7,NA,NA,2518,91508,0,0,0,0,2,1,1,1,0,NA,NA,1200,0,82808,0,1
2.2,1,NA,2,4,NA,NA,4,0.6,NA,NA,1376,23170,1,0,0,0,1,1,1,1,1,NA,7500,1550,0,23170,0,0
6,NA,10,5.5,NA,10,NA,2.2,1,0.05,NA,2966,73000,1,1,0,0,3,1,1,1,1,3000,NA,5000,0,10000,0,0
2.5,1.95,NA,2.55,NA,5.2,NA,3.85,2.85,NA,NA,2614,80500,0,1,1,40,2,1,1,1,1,4000,NA,1600,120000,0,0,0
1.8,NA,NA,0.9,1,NA,1,1.6,NA,NA,NA,881,46000,0,0,1,8,2,1,1,1,1,NA,NA,3000,110000,28000,0,0
6,1.85,20,6.9,10,4.3,NA,3.25,1,0.1,3.2,4848,87778,0,1,1,6,5,1,1,1,1,3500,NA,2200,0,26578,0,0
2.525,NA,NA,5,NA,8.5,NA,4.7,6,NA,NA,2277,55250,0,1,1,14,3,1,0,1,1,3700,1200,2100,0,20000,0,0
4,0.6,NA,3.55,2,2,1,4.4,1.2,0.095,NA,3287,40000,1,0,0,0,2,1,1,1,1,4000,NA,4500,0,10000,0,0
2.1,NA,10,0.9,NA,1,1,3.3,1.5,0.13,NA,1105,25200,0,0,0,0,1,1,1,1,1,NA,NA,3000,0,21700,0,0
2.3,NA,10,0.25,5,1.3,NA,1,0.1,NA,NA,839,61782,1,0,0,0,1,1,1,1,1,NA,1200,1800,0,14382,0,0
2.45,NA,10,1.25,5,1,NA,0.9,0.5,NA,NA,826,24100,0,0,0,0,1,1,1,1,0,NA,250,1340,0,24100,0,0
3.5,1,10,4.3,12,4,1,7,1.7,NA,NA,2744,36000,1,0,1,4,4,1,1,1,1,NA,800,2500,0,0,0,0
3.8,0.5,NA,3,2.4,5.1,NA,4.4,1.9,NA,NA,2231,58000,0,0,0,0,2,1,1,1,0,NA,1200,5500,0,58000,0,0
5.1,1.2,10,6,4.3,6,2,5.8,1.7,0.24,NA,3949,78000,1,1,1,4,4,1,1,1,1,4900,3000,4500,0,20000,0,0
4.4,1.2,20,5.5,5.5,2,1,6.4,3.7,0.1,NA,3315,55000,0,1,0,0,4,1,1,1,1,3000,NA,3000,0,0,0,0
4,1,10,2.45,3,1.3,2,2.1,0.5,0.035,NA,1567,51600,0,0,0,0,2,1,1,1,0,NA,NA,3500,0,51600,0,1
2.1,1.2,NA,3.5,9.3,0.3,NA,1.2,NA,NA,NA,1358,37411,0,0,0,0,2,1,1,1,1,NA,NA,3200,0,39481,0,1
NA,NA,NA,NA,NA,NA,NA,55,3,NA,NA,5250,45300,0,0,1,40,3,0,0,1,1,NA,NA,1300,0,16000,0,0
2.5,NA,NA,1.85,NA,NA,NA,3.35,1,NA,NA,1418,11100,0,0,1,39,1,0,0,1,0,NA,NA,3000,0,11100,0,0
2,NA,NA,0.2,1.8,1,NA,1.6,1,NA,NA,1166,55000,0,0,1,40,3,0,0,1,0,NA,3000,1000,122000,0,0,0
4,NA,NA,NA,NA,NA,2,6.05,1.5,0.09,NA,2349.5,37310,0,1,1,14,2,0,0,1,1,3000,NA,2500,36000,0,0,0
2,1,NA,NA,NA,NA,NA,1.6,NA,NA,NA,904,26000,0,0,1,12,2,0,0,1,1,NA,440,3000,0,0,0,0
7,NA,10,NA,0.2,NA,2,6,1.5,0.35,NA,3050,69000,0,0,1,42,3,0,0,0,0,NA,800,500,70000,0,0,0
3,1,NA,3.3,40,NA,NA,6,NA,NA,NA,1390,47000,1,1,0,0,4,1,0,1,1,3000,NA,2200,0,1880,0,0
1.7,1.5,NA,3.85,NA,2.5,NA,1.7,NA,NA,NA,1947,57620,0,0,1,8,2,1,1,1,1,NA,1200,1800,0,32920,0,0
4,NA,NA,3.25,6,NA,NA,5.6,0.8,NA,NA,2004,33340,1,0,0,0,2,1,1,1,1,NA,6000,1500,0,31010,0,1
3.1,1.25,NA,2.95,6.5,1.5,2,2,0.5,0.095,NA,2066,42200,0,1,0,0,2,1,1,1,0,4500,NA,2000,0,20200,0,0
3.1,1,10,2.7,3,4.6,2,2.1,0.6,0.035,NA,1518,44000,0,0,0,0,2,1,1,1,0,NA,NA,3000,0,44000,0,0
1.1,0.25,20,3,8,7.8,NA,1.2,0.4,NA,NA,1301,59480,0,0,0,0,2,1,1,1,0,NA,600,1900,0,52680,0,1
5.2,0.25,NA,3.45,11,2,1.5,3.3,0.6,NA,0.5,3050,52800,0,1,0,0,3,1,1,1,1,2000,NA,4500,0,12800,0,0
8.6,0.3,20,7.55,NA,7.2,2,8.7,7.1,3,1.5,5399,55000,0,0,0,0,6,1,1,1,1,NA,600,5000,100000,68300,0,0
4.125,NA,NA,3.5,14,1.5,NA,1.95,NA,NA,NA,1775,58490,0,1,0,0,2,1,1,1,1,3500,NA,1600,0,55310,0,0
3.5,NA,NA,1.2,NA,10,0.9,1.6,0.35,2.15,3,2536,80000,0,1,0,0,1,1,1,1,1,4000,NA,NA,0,0,0,0
2,NA,20,1.8,12,2,NA,4,2.9,1.29,NA,2610,45000,1,0,0,0,1,1,1,1,1,NA,1000,5000,0,12000,0,0
2,NA,20,7.5,3,NA,2,4,NA,0.2,NA,1484,20250,0,0,1,2,2,1,1,0,1,NA,500,3500,0,18650,0,0
1.5,NA,30,3.8,NA,3,NA,1.8,1.5,0.095,NA,2036,53000,0,1,1,6.1,2,1,0,1,1,6000,NA,3100,80000,0,0,0
NA,NA,10,1.18,NA,2,NA,0.6,0.4,0.4,NA,693,34150,0,0,1,3,2,1,0,1,0,NA,600,2500,0,34150,0,1
2.25,1,30,6.2,0.975,2,NA,4.4,1.5,NA,NA,2670,143000,1,0,1,3,2,1,1,1,1,NA,1500,2900,630000,25300,0,1
1,3,10,3.9,1.5,2,1,6.2,1.5,0.2,NA,2108,20000,0,0,0,0,1,1,1,1,0,NA,NA,3500,0,18400,0,0
4.7,NA,NA,4.4,5.5,2.5,NA,6.3,NA,NA,NA,1601,50000,0,1,1,6,2,1,1,0,1,2000,1600,3200,140000,0,0,0
3.5,NA,10,3.3,NA,2,NA,4.5,1,0.1,NA,1607,12000,1,0,1,1,1,1,0,0,0,NA,500,3200,0,12000,0,0
3.7,3,NA,4,10,4,NA,6.3,3,0.1,NA,2478,20000,1,1,1,3,2,1,1,1,1,3000,600,4000,0,0,0,0
6.5,NA,10,6.7,8,3,NA,10.5,3.5,0.2,0.7,4495,67000,1,1,0,0,3,1,1,1,1,4000,700,4500,740000,13000,0,0
9,1,30,5,2.3,3,1.35,3.8,2.4,0.075,NA,5455,88000,1,1,1,3,4,1,1,1,1,6000,2000,6000,230000,18000,0,0
6.7,NA,10,4,NA,NA,NA,5.8,2,NA,NA,1705,47300,0,0,1,3,2,1,0,1,1,NA,1000,2800,0,22264,0,0
2,NA,10,3.325,3.5,NA,1,2.4,1,0.075,NA,1440,23000,0,0,1,3,1,1,0,0,1,NA,1000,2500,45000,0,0,0
4.4,1,NA,6.8,10,NA,NA,13,4.2,0.1,NA,3799,35000,0,1,1,4,3,1,1,1,1,2500,1200,4000,50000,16000,0,0
7.9,NA,30,4.8,2,4,0.8,9.2,2,6,1,5039,77000,1,1,1,3,4,1,1,1,1,8000,1500,2200,0,0,0,0
3.8,NA,10,4.4,NA,2,NA,5.1,1,1,NA,1705,165000,1,1,0,0,3,1,1,1,1,2000,1000,3000,0,0,0,0
6,1,30,4.7,100.2,2,0.8,4.2,2,NA,NA,3103,72000,1,0,1,3,2,1,0,1,1,NA,2000,3200,0,12000,0,0
9,NA,30,5.5,15,4,NA,4.2,1,NA,NA,4040,120000,1,1,1,3,5,1,0,1,1,7000,400,4200,0,0,0,0
3.3,NA,NA,3,1,2,NA,5,1.3,2,NA,2330,80000,0,1,0,0,3,1,1,1,1,6000,2000,3700,0,0,0,0
3.4,NA,10,3,NA,NA,NA,3.45,0.5,NA,NA,1048,16100,0,0,1,12,1,1,0,1,0,NA,NA,1600,0,16100,0,0
3,3,NA,1,3,12,NA,4.2,3,NA,NA,2560,102000,0,1,1,17,6,1,0,1,1,4000,1000,12000,80000,0,0,0
2.5,NA,30,3.4,3,2,0.8,4.2,2,0.095,NA,2318,32000,0,0,0,0,3,1,0,1,1,NA,1000,5000,0,0,0,0
5,1,NA,6,4,3,NA,9.8,5.5,2.05,NA,4470,65300,0,1,1,11,5,1,0,1,1,3000,500,6500,0,10300,0,0
NA,NA,20,3,NA,NA,NA,1.8,NA,NA,NA,350,43720,0,0,1,11,2,1,0,1,0,NA,300,3000,0,42000,0,0
2,NA,20,2,7,NA,NA,2.4,2.5,NA,NA,1180,16000,0,0,1,7,2,1,0,1,0,NA,1000,3000,0,13000,0,0
1,1,NA,1.5,NA,NA,NA,4.2,6,0.2,NA,1577,66800,1,1,1,21,4,1,0,1,1,4000,200,3300,860000,12000,0,0
5.5,NA,NA,0.2,NA,6,NA,4.2,1.7,0.15,NA,2813,59740,0,0,1,14,3,1,0,1,1,NA,500,4400,0,52500,0,1
2,NA,20,2,3,2,NA,1.8,NA,NA,NA,1302,81740,0,0,1,8,2,1,0,1,1,NA,1200,3600,380000,40000,0,0
2,NA,NA,6.5,NA,NA,2,8.4,6,NA,NA,2990,166800,0,1,1,11,11,1,0,1,1,4000,2500,1800,0,71800,0,1
1.7,NA,NA,0.2,NA,NA,0.9,1.65,NA,NA,NA,415,10296,0,0,1,4,1,1,0,1,0,NA,NA,1200,0,11096,0,1
5.35999999999999,NA,NA,4.9,16.5,NA,3,9,3.5,0.1,NA,2435,46000,0,0,0,0,2,1,1,1,0,NA,650,4000,0,14200,0,0
2,NA,NA,3,NA,6,NA,1.8,NA,NA,NA,631,48970,0,1,1,11,3,1,0,1,1,3000,NA,3200,0,43600,0,0
4,NA,40,3,NA,NA,NA,6,3,NA,10,2715,55000,1,1,1,22.78,4,1,0,1,1,4000,NA,4800,0,0,0,0
5.7,2,10,10,5,2.4,NA,10.1,2.5,0.1,NA,3042,30000,1,1,0,0,3,1,1,1,1,1800,800,13000,0,0,0,0
6.6,NA,10,3,12,3,2,3,1,NA,2,2880,46000,0,0,0,0,2,1,1,1,1,NA,500,3700,0,36000,0,0
2.6,NA,NA,2.2,8,NA,NA,2.4,2.5,0.1,NA,2140,10000,0,0,0,0,1,1,1,1,0,NA,NA,3000,0,10000,0,0
4,0.5,20,1.7,7,1.5,NA,2.4,3,0.1,NA,3175,39000,0,1,0,0,2,1,1,1,1,3500,NA,3200,0,0,0,0
4,1,10,2.4,4.9,5.5,NA,2.3,0.5,2.2,NA,2847,36000,1,1,0,0,1,1,1,1,1,2500,NA,4200,0,0,0,0
3.5,NA,10,2.5,NA,1,NA,2.7,4.5,0.1,NA,2135,19000,0,0,0,0,2,1,1,1,1,NA,NA,2900,0,19000,0,0
2,NA,NA,2.8,1,2,NA,1.8,1,NA,NA,1685,9300,0,0,0,0,1,1,1,1,0,NA,5000,2500,0,9300,0,0
3.3,NA,NA,NA,NA,NA,1.4,9.4,0.3,9,4.5,1890,94600,0,1,1,8,7,1,0,0,1,4000,NA,5000,30000,4600,0,0
2.7,NA,10,4.15,5,NA,NA,4,NA,0.1,NA,1083,45000,0,1,1,5,3,1,0,1,1,2000,800,4500,60000,11300,0,0
3.5,NA,10,4.5,10.5,4.5,NA,9.5,1.4,0.2,0.7,3309,40000,0,1,0,0,2,1,1,0,1,2500,450,3800,0,13900,0,0
NA,3,NA,4.95,0.7,1,NA,0.4,0.5,NA,NA,953,31000,1,1,1,3.5,2,1,1,1,1,3000,NA,3500,70000,31000,0,0
2.5,NA,NA,2,12,NA,0.6,1.8,7.5,NA,NA,1967,15500,0,0,1,11,1,1,0,1,1,NA,500,3500,0,15500,0,0
3,1,NA,5,4,3,1,4.2,5,0.1,3,3395,54400,0,1,1,10,4,1,0,1,1,3000,700,4000,0,18400,0,0
5,2,NA,4,2.5,4,5,5.4,13.5,0.1,NA,4790,46700,0,1,1,9,3,1,0,1,1,5000,NA,4800,0,30700,0,0
2,NA,NA,3.6,13,NA,NA,1.2,1,NA,NA,1186,16500,0,0,1,18,1,1,0,1,0,NA,NA,3500,0,16500,0,0
2.5,1,NA,5.3,1,5,NA,4.2,2,NA,NA,2520,44800,1,1,1,9,2,1,0,1,1,3000,700,4700,0,26800,0,0
5.5,NA,20,6.3,2,2,1,6.8,4,0.1,NA,3845,44000,0,0,1,10,3,1,0,1,1,NA,1500,4000,0,29000,0,1
9,NA,NA,9.5,8,20,NA,28,13.5,2,0.7,9220,101600,0,1,1,6,10,0,0,1,1,5000,1200,4000,0,11600,0,0
4,NA,20,1.4,1,NA,NA,4.4,2.5,0.1,NA,2034,21000,0,0,1,8,1,0,0,1,0,NA,450,3500,0,16000,0,0
0.3,NA,NA,1.5,10,1,NA,1.8,0.8,NA,NA,802,16000,0,0,0,0,1,1,1,1,0,NA,NA,4000,0,16000,0,0
2,NA,NA,2.6,10,2,NA,1.8,1.5,NA,NA,1438,21000,0,0,1,8,1,1,0,1,0,NA,NA,3000,0,21000,0,0
3.7,NA,NA,1.7,6,1,NA,1.8,0.8,NA,NA,1990,24500,1,0,0,0,1,1,1,0,0,NA,500,2300,0,24500,0,0
4.5,3,20,2,2,2,NA,2.9,1,NA,3,2810,34000,0,0,0,0,1,1,1,1,0,NA,300,3000,0,34000,0,0
4.6,NA,30,3.5,13,3,NA,2.4,3.5,NA,NA,2655,53800,0,0,0,0,2,1,0,1,1,NA,500,2700,0,53800,0,0
NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,195,35635,0,0,1,14,2,1,0,1,1,NA,700,NA,125000,25635,0,0
5,NA,20,3.7,NA,10,2,16.2,14,0.1,0.5,5469,38750,1,1,1,15,2,1,0,1,1,5000,1500,2200,0,22000,0,0
1,NA,NA,4.3,NA,NA,1,5.4,1.5,NA,NA,1395,39700,1,1,1,10,3,1,0,1,1,3000,1200,2400,40000,14700,0,1
2,NA,NA,4.5,17,5,NA,6,1.5,0.05,3,2685,85600,1,1,1,12,4,1,0,1,1,4000,350,5000,0,10600,0,0
4,NA,20,2.2,13,2,NA,3.6,3,2,NA,3852,40100,0,1,1,2,2,1,0,1,1,4000,700,4200,0,15100,0,0
3.5,NA,20,3.2,12,2,NA,12,2.5,NA,3,2870,34700,1,0,1,10,6,1,0,1,0,NA,700,3750,0,34700,0,1
NA,1,NA,6,2,NA,NA,4.8,8,0.1,1,2320,36200,0,1,1,7,2,1,0,1,1,3000,NA,3700,0,10200,0,0
8,NA,NA,6,8.5,5.5,NA,18,3,NA,4.5,6085,76800,0,0,1,7,7,1,0,1,1,NA,2000,4800,0,24800,0,0
8,NA,NA,8,18,4,3,7.2,4.5,2,6,4670,51500,1,1,1,12,7,0,0,1,1,3000,500,4000,0,21000,0,0
10,1,NA,5.5,6,6,NA,15,3.5,0.1,6,6825,95400,0,1,1,2,5,1,0,1,1,2000,2000,2800,10000,400,0,0
4.5,NA,10,2,5.32,2,NA,1.6,2.05,0.69,NA,2335,20000,0,0,0,0,1,1,1,0,1,NA,500,3500,0,0,0,0
NA,NA,NA,NA,NA,2,NA,0.5,NA,NA,NA,410,7585,0,0,1,6,2,1,0,0,1,NA,NA,1512,63300,2685,0,0
0.5,NA,10,3,NA,0.5,NA,2,2.3,0.1,NA,835,15329,0,0,0,0,1,1,0,0,0,NA,NA,423,0,15329,0,0
0.4,NA,NA,0.9,NA,1,NA,3.8,1,NA,NA,580,10600,0,1,1,3,1,0,0,0,0,1000,NA,600,0,10600,0,0
1,NA,NA,6,NA,3,NA,NA,1,NA,NA,1400,36000,0,1,1,6,3,1,0,1,0,2000,NA,1000,0,26000,0,1
2,NA,NA,2,NA,3,NA,13.7,6.5,0.5,NA,2680,56500,0,1,1,6,4,1,0,0,1,3000,NA,1000,3100000,0,0,0
1,NA,NA,3,NA,NA,NA,2.5,1,NA,NA,735,58145,1,0,1,6,2,1,0,0,1,NA,NA,1500,0,28145,0,0
0.4,NA,NA,NA,NA,2,0.9,4.3,1,NA,NA,1025,20100,0,0,1,6,1,0,0,0,0,NA,1000,600,17000,20100,0,0
2,NA,NA,2.5,NA,3,NA,1.8,2,NA,NA,1520,28000,0,1,1,15,3,1,0,0,0,3000,NA,1000,0,0,0,0
5.5,NA,NA,3.2,NA,5,0.9,5,2,NA,NA,3150,123000,0,1,1,6,3,1,0,0,1,3000,NA,3000,7380000,0,0,0
0.5,NA,20,3,NA,NA,NA,2,2,0.75,NA,1340,32912,0,0,1,3,1,1,0,0,0,NA,300,788,0,32912,0,0
NA,NA,NA,3.3,NA,1,NA,1.3,0.8,NA,NA,760,22000,0,0,1,12,1,1,0,0,0,NA,NA,500,300000,12000,0,0
NA,0.5,60,NA,NA,NA,NA,2.15,NA,NA,NA,664,19500,0,1,1,8,1,0,0,1,1,2000,NA,700,0,18000,0,1
3.4,NA,NA,3,NA,2,NA,3.2,1.5,NA,NA,2160,29705,0,0,1,13,2,0,0,0,1,NA,NA,450,0,24705,0,1
1,NA,20,3.4,NA,1.5,NA,4,2.85,0.075,NA,1579,119527,1,1,1,6,4,0,0,0,1,5000,NA,1780,0,32227,0,0
NA,NA,NA,2.5,NA,1.6,NA,0.9,0.5,NA,NA,922,16500,1,0,1,10,1,0,0,0,0,NA,NA,400,0,16744,0,0
3.5,NA,NA,5.5,NA,3,2,5.4,1,NA,NA,2860,56271,1,1,1,24,2,1,0,1,1,3000,NA,1000,0,52900,0,0
NA,NA,NA,7,NA,2,NA,0.9,NA,NA,NA,510,12700,0,0,1,8,1,1,0,0,0,NA,2000,500,0,12700,0,1
4,NA,NA,4,30,1,NA,2.65,0.4,NA,NA,1431,92000,0,1,1,10,2,1,0,1,1,1000,NA,1000,0,9200,0,1
7,NA,NA,2,NA,5,3,4.1,2,NA,NA,4560,28000,1,1,1,7,4,1,0,1,1,3000,NA,1000,1610000,5000,0,0
0.5,NA,NA,NA,NA,3,NA,2.25,2,NA,NA,1360,39000,0,1,1,6,4,1,0,0,1,3000,NA,1000,0,22500,0,0
NA,NA,20,6.45,NA,2,NA,6,1.5,NA,NA,1159,84656,0,1,1,7,2,0,0,1,1,2500,NA,632,0,84656,0,1
NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,750,21600,0,1,1,6,2,1,0,1,1,3000,NA,1000,0,0,0,0
0.3,NA,NA,2,NA,3,NA,1.2,NA,NA,NA,775,35400,0,0,1,10,1,0,0,0,1,NA,NA,600,0,18000,0,0
2.5,NA,NA,3,NA,3,0.9,1.6,0.5,NA,NA,1915,16800,1,1,1,6,2,1,0,0,0,3000,NA,1000,0,16800,0,0
0.5,NA,NA,2,NA,3,0.9,2.2,1.5,NA,NA,1150,82500,1,0,1,10,3,0,0,0,1,NA,NA,1000,0,10000,0,1
3,NA,NA,4.5,NA,5,NA,3.7,1.5,NA,NA,2790,91800,1,1,1,6,4,1,0,0,0,1000,NA,1100,100000,21058,0,0
1,NA,10,3,NA,NA,NA,1.5,1,0.1,NA,749,29731,0,1,1,5,1,0,0,1,1,1000,NA,900,0,0,0,0
7,NA,NA,4,NA,3,2,5.8,4,NA,NA,6000,55000,0,1,1,50,4,0,0,1,1,2000,NA,600,0,40000,0,0
1,NA,NA,4.5,NA,3,0.8,3.2,3.5,NA,NA,2190,40600,1,1,1,7,4,1,0,1,1,3000,NA,1000,0,10600,0,0
0.5,NA,NA,2.4,NA,2,0.8,2.7,1,NA,NA,1420,86885,0,1,1,4,3,0,0,0,1,2000,NA,1000,0,26885,0,0
6,NA,NA,4.5,NA,2,1,8.5,1,NA,NA,3010,64459,0,1,1,8,3,0,0,0,1,5000,NA,1430,0,52559,0,1
3,NA,10,3.5,NA,3,0.9,2.8,3.5,NA,NA,3180,35000,0,1,1,6,4,0,0,1,1,3000,NA,1000,0,0,0,0
4,NA,10,2.5,NA,3,NA,2,2,NA,NA,4100,66000,1,1,1,8,3,0,0,1,1,2000,NA,1000,0,0,0,0
3.5,NA,10,2.5,NA,2,NA,2.5,1.5,0.2,NA,3679,40670,0,0,1,25,2,0,0,0,1,NA,NA,600,500000,15000,0,0
NA,NA,NA,NA,NA,1,NA,1.4,0.8,NA,NA,470,13000,0,0,1,6,2,0,0,0,0,NA,NA,600,0,13000,0,0
NA,NA,NA,NA,NA,2,NA,1.8,0.8,NA,NA,575,19000,0,0,1,6,3,0,0,0,0,NA,NA,1000,0,0,0,0
3.3,NA,10,3.4,NA,1,3,7,2,0.1,NA,2104,28800,1,1,1,4,2,0,0,0,1,3000,NA,780,0,25800,0,1
3.3,0.48,30,5,NA,2,2,13,3.5,0.1,NA,2542,56437,0,0,1,12,2,0,0,0,0,NA,NA,1060,0,56437,0,0
1,NA,NA,NA,NA,1,NA,8.8,3.5,0.1,NA,1274,46000,1,1,1,7,3,0,0,1,1,3000,NA,950,0,2000,0,0
0.5,NA,10,3.25,NA,1,NA,6,1.7,0.85,NA,1852,25255,0,1,1,6,1,0,0,0,1,1500,NA,1100,0,25255,0,0
1,NA,10,1,NA,1.5,NA,1.5,NA,0.2,NA,1013,51150,0,1,1,7,3,1,1,1,1,5000,NA,1180,800000,11450,0,1
4,NA,NA,3,NA,NA,NA,12.9,2,NA,NA,1939,34165,0,1,1,8,2,1,0,0,0,2000,NA,842,0,34165,0,1
0.5,NA,10,NA,NA,2,0.6,3,NA,0.095,NA,770,57221,0,1,1,5,3,1,0,1,1,3000,NA,1060,0,54221,0,1
1,NA,10,4.4,NA,1,1,2,1.1,NA,NA,1021,63000,0,1,0,0,2,1,1,1,1,1000,NA,1116,0,0,0,0
0.5,NA,10,3,NA,3,2,3,1.5,NA,NA,1840,80000,0,1,1,16,4,0,0,1,1,2000,NA,1000,0,0,0,0
0.5,NA,NA,4.35,NA,3,2,2.6,2,NA,NA,2050,108000,1,1,1,4,4,1,0,0,1,4000,2000,1000,2000000,0,0,0
1,NA,NA,2,NA,3,NA,7.1,1.5,NA,NA,1370,60000,0,1,1,11,3,1,0,0,1,3000,NA,1000,0,0,0,0
2,NA,NA,NA,NA,5,1.8,12.5,8,NA,NA,2480,25611,0,0,1,8,5,0,0,1,1,NA,1000,1000,0,10611,0,0
0.95,NA,10,2,1.7,1,NA,1.5,1.4,2.05,NA,1312,2000,0,0,0,0,1,1,1,1,1,NA,1250,1200,0,0,0,0
1.8,NA,10,0.6,NA,1,NA,0.8,1,NA,NA,1073,12800,0,0,0,0,1,1,1,0,1,NA,1000,NA,0,0,0,0
