"","meat","fish","eggs","milk","vegetables","fruits_and_berries","cereals","flour","sweets","softdrinks","alcodrinks","sum_rub_buy","income","diplom","car","plot_bi","plot_size","famsize","water","sanitation","fridge","internet","pfuel","ptransp","phome","debt","govsubs","nongovsubs","inval"
"887",5.4,1.2,20,6.8,6.2,2,1,3.45,2.8,0.2,1.5,4329,56000,1,1,0,0,2,1,1,1,1,4000,0,6500,0,13000,0,0
"888",6.976,1.2,20,5.8,9.2,2,1,4.8,2.7,0.2,3.5,5302,30000,0,1,0,0,1,1,1,1,1,3000,0,6000,0,0,0,0
"889",4.338,1,10,5.7,17.1,2,1,2.75,2.8,0.1,0,3119,17259,0,0,0,0,1,1,1,1,0,0,302,3500,0,16521,0,0
"890",6.038,1.2,20,6.4,1.2,2.5,2,5.25,3,0.1,2,4630,47840,0,1,1,4,3,1,1,1,1,2500,0,6000,0,46364,0,0
"891",2.5,0,0,0.3,0,1.2,0,0.65,1.64,4.595,0,1742,40000,0,0,1,6,3,1,1,1,1,0,2700,3700,246000,6230,0,0
"892",1.3,0,0,10.25,0,1,1,1.1,0,0,0,992,21432,0,0,1,6,1,1,1,1,0,0,302,4800,0,23507,0,0
"893",8.838,2.676,20,9.4,2,3,3,6.9,7,0.3,4.7,8250,75000,0,1,1,20,5,1,1,1,1,5000,800,4000,100000,0,0,0
"894",11.7,1.5,0,0,0,2,3,13.95,7,0.2,3.5,7543,49689,0,1,1,9,5,1,0,1,1,5000,1000,3500,0,1680,0,0
"895",7.076,1.2,0,6.8,0,2.5,2,5.6,6.3,0.1,0,5023,67000,0,1,1,15,5,1,0,1,1,3000,1000,4000,100000,0,0,0
"896",6.9,1.5,20,6.8,0,2,2,5,6,0.2,0,4906,62400,1,1,1,15,3,1,1,1,1,5000,0,4000,0,0,0,0
"897",2,0,10,0.5,5,1.6,0,0.95,0,0,0,1310,55000,1,1,0,0,2,1,1,1,1,1200,150,5600,0,0,0,0
"898",2.25,0,0,1.1,1.5,0,0.8,0.85,0.35,0,0,894,54000,1,0,0,0,2,1,1,0,0,0,350,3000,0,29000,0,0
"899",14.5,0,20,15.95,5,2,0,6.3,4.4,0.14,5,6419,119751,1,1,1,12,5,1,1,0,1,15000,2300,6380,109000,36991,0,1
"900",2,0,10,1,4,0,0,2,0,0,0,550,86000,0,1,0,0,4,1,1,1,0,2000,150,3500,0,15600,0,0
"901",0,0,0,0,0,0,0,0,0,0,0,0,25251,0,0,1,6.25,1,1,1,1,0,0,500,2297,0,25931,0,0
